AttractionId,Attraction,AttractionType,AttractionCity,AttractionCountry
640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Douala,Cameroon
841,Waterbom Bali,Water Parks,Douala,Cameroon
673,Seminyak Beach,Beaches,Douala,Cameroon
481,Nusa Dua Beach,Beaches,Douala,Cameroon
650,Sanur Beach,Beaches,Douala,Cameroon
824,Uluwatu Temple,Religious Sites,Douala,Cameroon
748,Tegalalang Rice Terrace,Points of Interest & Landmarks,Douala,Cameroon
749,Tegenungan Waterfall,Waterfalls,Douala,Cameroon
737,Tanah Lot Temple,Religious Sites,Douala,Cameroon
369,Kuta Beach - Bali,Beaches,Douala,Cameroon
888,Bromo Tengger Semeru National Park,National Parks,South Region,Cameroon
947,Mount Semeru Volcano,Volcanos,South Region,Cameroon
920,Jodipan Colorful Village,Neighborhoods,South Region,Cameroon
975,Sempu Island,Nature & Wildlife Areas,South Region,Cameroon
877,Balekambang Beach,Beaches,South Region,Cameroon
897,Coban Rondo Waterfall,Waterfalls,South Region,Cameroon
913,Goa Cina Beach,Beaches,South Region,Cameroon
937,Malang City Square,Points of Interest & Landmarks,South Region,Cameroon
949,Museum Malang Tempo Doeloe,Speciality Museums,South Region,Cameroon
928,Khayangan Reflexology & Massage,Spas,South Region,Cameroon
1133,Jomblang Cave,Caverns & Caves,N'Djamena,Chad
1137,Kalibiru National Park,National Parks,N'Djamena,Chad
1166,Malioboro Road,Flea & Street Markets,N'Djamena,Chad
1171,Merapi Volcano,Volcanos,N'Djamena,Chad
1220,Ramayana Ballet at Prambanan,Ballets,N'Djamena,Chad
1225,Ratu Boko Temple,Ancient Ruins,N'Djamena,Chad
1238,Sewu Temple,Ancient Ruins,N'Djamena,Chad
1278,Ullen Sentalu Museum,History Museums,N'Djamena,Chad
1280,Water Castle (Tamansari),Points of Interest & Landmarks,N'Djamena,Chad
1297,Yogyakarta Palace,Historic Sites,N'Djamena,Chad
